LSOA Code,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,MISCELLANEOUS CRIMES AGAINST SOCIETY,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Total_crime
E01003023,0.08590831918505942,0.10050933786078098,0.07809847198641766,0.013242784380305603,0.010526315789473684,0.07538200339558573,0.06723259762308999,0.2196943972835314,0.0967741935483871,0.25263157894736843,2945
E01003024,0.06715328467153285,0.07542579075425791,0.09586374695863747,0.02579075425790754,0.013138686131386862,0.05693430656934306,0.06277372262773723,0.19318734793187348,0.07201946472019465,0.33771289537712895,2055
E01003025,0.09090909090909091,0.1121433311214333,0.09555408095554081,0.013934970139349702,0.015925680159256803,0.0457863304578633,0.06635700066357,0.15726609157266092,0.14399469143994692,0.2581287325812873,1507
E01003026,0.05665930831493746,0.0908756438557763,0.047829286239882265,0.00919793966151582,0.004047093451066961,0.04010301692420898,0.06144223693892568,0.41353936718175127,0.13281824871228845,0.1434878587196468,2718
E01003027,0.10057471264367816,0.19061302681992337,0.033524904214559385,0.007662835249042145,0.006704980842911878,0.008620689655172414,0.05363984674329502,0.15708812260536398,0.36398467432950193,0.07758620689655173,1044
E01003028,0.0939655172413793,0.13706896551724138,0.034482758620689655,0.014655172413793103,0.004310344827586207,0.041379310344827586,0.03879310344827586,0.16551724137931034,0.23620689655172414,0.2336206896551724,1160
E01003029,0.0713871154962275,0.2066163668020894,0.05803830528148578,0.011027278003482298,0.00812536273940801,0.04062681369704005,0.07312826465467208,0.17411491584445735,0.18514219384793965,0.1717933836331979,1723
E01003030,0.0663465735486687,0.12134439109559145,0.053688345700567436,0.007420340462680052,0.005674378000872981,0.05674378000872981,0.044085552160628545,0.35355739851593193,0.09951986032300306,0.19161938018332605,2291
E01003031,0.0979381443298969,0.09965635738831616,0.09879725085910653,0.011168384879725086,0.005154639175257732,0.04381443298969072,0.04725085910652921,0.17611683848797252,0.14604810996563575,0.27405498281786944,1164
E01003032,0.06740638002773926,0.07628294036061026,0.07378640776699029,0.009153952843273232,0.014424410540915394,0.047434119278779475,0.05547850208044383,0.3841886269070735,0.04604715672676838,0.22579750346740637,3605
E01003033,0.10085470085470086,0.1094017094017094,0.04786324786324787,0.01452991452991453,0.01282051282051282,0.03504273504273504,0.03418803418803419,0.1794871794871795,0.2777777777777778,0.18803418803418803,1170
E01003034,0.07017543859649122,0.13263157894736843,0.061052631578947365,0.01263157894736842,0.009824561403508772,0.047017543859649125,0.06456140350877193,0.2119298245614035,0.1880701754385965,0.20210526315789473,1425
E01003035,0.03598151408450704,0.045774647887323945,0.0370818661971831,0.005941901408450704,0.0077024647887323945,0.03180017605633803,0.03433098591549296,0.5609595070422535,0.03609154929577465,0.20433538732394366,9088
E01003036,0.09851551956815115,0.1396761133603239,0.06612685560053981,0.010121457489878543,0.01349527665317139,0.033738191632928474,0.058704453441295545,0.17341430499325236,0.1632928475033738,0.242914979757085,1482
E01003037,0.07220216606498195,0.08040695766327535,0.04036757466360354,0.010502133245815556,0.0062356416147029865,0.08697079094191007,0.043977682966852644,0.3688874302592714,0.06563833278634723,0.22481128979323925,3047
E01003038,0.06912991656734208,0.1573301549463647,0.029201430274135878,0.0029797377830750892,0.0059594755661501785,0.02443384982121573,0.03933253873659118,0.33432657926102505,0.22526817640047675,0.11203814064362336,1678
E01003039,0.05091236765037171,0.08965983329578733,0.04032439738679883,0.008335210633025456,0.003829691371930615,0.04685740031538635,0.045731020500112636,0.46722234737553503,0.09889614778103177,0.14823158369002026,4439
E01003040,0.0812603648424544,0.1451077943615257,0.05223880597014925,0.015754560530679935,0.0041459369817578775,0.03648424543946932,0.06965174129353234,0.20149253731343283,0.22470978441127695,0.1691542288557214,1206
E01003041,0.045307443365695796,0.058656957928802586,0.04894822006472492,0.010315533980582525,0.007079288025889968,0.043284789644012944,0.04146440129449838,0.5180016181229773,0.028519417475728157,0.19842233009708737,4944
E01003042,0.06786050895381715,0.12064090480678605,0.05655042412818096,0.007540056550424128,0.007540056550424128,0.07728557964184732,0.060320452403393024,0.2177191328934967,0.117813383600377,0.26672950047125354,1061
E01003043,0.07589285714285714,0.15550595238095238,0.0900297619047619,0.011904761904761904,0.011160714285714286,0.02976190476190476,0.07738095238095238,0.15029761904761904,0.18824404761904762,0.20982142857142858,1344
E01003044,0.12103746397694524,0.10662824207492795,0.10086455331412104,0.018731988472622477,0.01440922190201729,0.04755043227665706,0.03025936599423631,0.10951008645533142,0.08213256484149856,0.3688760806916426,694
E01003045,0.09421939007737824,0.03914428766499772,0.17933545744196633,0.01957214383249886,0.030040964952207556,0.05689576695493855,0.05234410559854347,0.14337733272644515,0.06918525261720528,0.3158852981338188,2197
E01003046,0.0794044665012407,0.08870967741935484,0.11042183622828784,0.01488833746898263,0.026674937965260544,0.05086848635235732,0.05521091811414392,0.11042183622828784,0.13337468982630274,0.33002481389578164,1612
E01003047,0.058712021483860774,0.025538412932441683,0.11110526038649887,0.012268969511874046,0.0120056869043231,0.07482491706597862,0.05070823021431204,0.4074561634458428,0.018324469485545784,0.2290558685693223,18991
E01003048,0.09581395348837209,0.052093023255813956,0.15348837209302327,0.02186046511627907,0.029767441860465118,0.04232558139534884,0.046511627906976744,0.14372093023255814,0.09674418604651162,0.3176744186046512,2150
E01003049,0.08974358974358974,0.08727810650887574,0.11883629191321499,0.009861932938856016,0.021696252465483234,0.04930966469428008,0.042899408284023666,0.1839250493096647,0.08136094674556213,0.3150887573964497,2028
E01003050,0.06725043782837128,0.09912434325744308,0.1436077057793345,0.01436077057793345,0.014711033274956218,0.05814360770577934,0.07425569176882663,0.23887915936952714,0.08441330998248686,0.2052539404553415,2855
E01003051,0.08311229000884174,0.08812260536398467,0.12584733274388446,0.007957559681697613,0.026525198938992044,0.060418508694370765,0.05540819333922782,0.1971706454465075,0.0645446507515473,0.29089301503094606,3393
E01003052,0.06988160554432572,0.04331504475887958,0.1362980075079411,0.011261911637308691,0.020213687554143805,0.04909038406006353,0.033785734911926074,0.3173548946000578,0.06035229569737222,0.25844643372798154,3463
E01003053,0.055517711171662126,0.09877384196185286,0.055858310626702996,0.0085149863760218,0.010899182561307902,0.04938692098092643,0.04257493188010899,0.43971389645776565,0.0861716621253406,0.15258855585831063,2936
E01003054,0.078627280625543,0.13379669852302345,0.07732406602953953,0.008253692441355343,0.007819287576020852,0.043874891398783665,0.04691572545612511,0.28105994787141614,0.1155516941789748,0.20677671589921806,2302
E01003055,0.048989113530326596,0.04380508035251426,0.09888543286677035,0.00933125972006221,0.013737687921202696,0.05780196993260757,0.05404354587869362,0.4367547952306895,0.03343701399688958,0.20321410057024364,7716
E01003056,0.08477842003853564,0.1573538856775851,0.08285163776493257,0.01348747591522158,0.010918432883750802,0.03917790622992935,0.046885035324341684,0.17148362235067438,0.14065510597302505,0.2524084778420039,1557
E01003057,0.08926553672316384,0.15254237288135594,0.08418079096045197,0.00903954802259887,0.007344632768361582,0.05310734463276836,0.08192090395480225,0.16271186440677965,0.10225988700564972,0.2576271186440678,1770
E01003058,0.08175779253960143,0.1553398058252427,0.11241696474195197,0.010219724067450179,0.010219724067450179,0.04905467552376086,0.05263157894736842,0.17271333673990802,0.11905978538579458,0.23658661216147164,1957
E01003059,0.06349206349206349,0.05952380952380952,0.07539682539682539,0.015873015873015872,0.016313932980599646,0.05731922398589065,0.04805996472663139,0.3386243386243386,0.05246913580246913,0.27292768959435626,2268
E01003060,0.08387942332896461,0.07011795543905636,0.10353866317169069,0.014416775884665793,0.012450851900393184,0.06094364351245085,0.07077326343381389,0.20642201834862386,0.05701179554390563,0.32044560943643513,1526
E01003061,0.0375633089476646,0.03137310073157006,0.07132808103545302,0.0054867754642656166,0.008722566122678672,0.045441755768148566,0.045723128868880136,0.5642937535171637,0.02658975801913337,0.1634777715250422,7108
E01003062,0.08699186991869919,0.10325203252032521,0.04065040650406504,0.007723577235772358,0.008130081300813009,0.07398373983739838,0.06504065040650407,0.2016260162601626,0.11138211382113822,0.30121951219512194,2460
E01003063,0.11417058428475486,0.0745466756212223,0.06783075889858965,0.013431833445265278,0.008730691739422432,0.06984553391537945,0.05708529214237743,0.12961719274680994,0.1134989926124916,0.35124244459368703,1489
E01003064,0.09392712550607288,0.18785425101214576,0.021052631578947368,0.008097165991902834,0.0016194331983805667,0.03967611336032389,0.03562753036437247,0.14736842105263157,0.2688259109311741,0.19595141700404858,1235
E01003065,0.12564766839378239,0.08678756476683938,0.05310880829015544,0.017487046632124352,0.008419689119170985,0.05699481865284974,0.03432642487046632,0.11852331606217617,0.125,0.37370466321243523,1544
E01003066,0.09741730856366108,0.09560489352061623,0.07113729043951064,0.014046216583597644,0.030811055731762575,0.06796556411418214,0.05980969642048029,0.11101042138649751,0.12097870412324423,0.33121884911644767,2207
E01003067,0.11594202898550725,0.1471014492753623,0.034782608695652174,0.012318840579710146,0.005797101449275362,0.059420289855072465,0.042028985507246375,0.16594202898550725,0.18840579710144928,0.22826086956521738,1380
E01003068,0.11270638908829864,0.11486001435750179,0.04594400574300072,0.012921751615218953,0.013639626704953339,0.057430007178750894,0.04020100502512563,0.11198851399856424,0.15577889447236182,0.334529791816224,1393
